"ID_LOG","TIMESTAMP_DECISAO","COMANDO_BOMBA","FONTE_DECISAO","CONDICAO_METEO_DESC","UMIDADE_AR_API","TEMPERATURA_API","ID_TEMPO_API"
473,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
474,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
475,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
476,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
477,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
478,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
479,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
480,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
481,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
482,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
483,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
484,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
485,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
486,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
487,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
1,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Nublado",94,18,4,"803"
53,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
54,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
55,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
56,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
57,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
58,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
59,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
60,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
61,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
62,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
